# timestamp, x, y, z, rx, ry, rz
773281050,-0.37898277687371,2.13190723379717,-3.40019758268872,-0.07331830467365,0.83134698579364,-2.85314907006846
775239450,-0.37251287397155,2.13440252793579,-3.39934699721470,-0.07212503548603,0.83276234424475,-2.85591851056647
777199316,-0.36603097442943,2.13687786929503,-3.39849588751866,-0.07092772233218,0.83417861155861,-2.85868678304004
779160625,-0.35953714080094,2.13933320674306,-3.39764425373184,-0.06972635591645,0.83559578603727,-2.86145388333536
781123349,-0.35303143584439,2.14176848934739,-3.39679209598557,-0.06852092691736,0.83701386597398,-2.86421980728032
783087465,-0.34651392252216,2.14418366637564,-3.39593941441129,-0.06731142598749,0.83843284965310,-2.86698455068436
785052945,-0.33998466400001,2.14657868729635,-3.39508620914046,-0.06609784375338,0.83985273535012,-2.86974810933847
787019765,-0.33344372364646,2.14895350177973,-3.39423248030468,-0.06488017081548,0.84127352133155,-2.87251047901499
788987899,-0.32689116503214,2.15130805969852,-3.39337822803559,-0.06365839774801,0.84269520585491,-2.87527165546760
790957321,-0.32032705192914,2.15364231112866,-3.39252345246494,-0.06243251509890,0.84411778716865,-2.87803163443117
792928005,-0.31375144831030,2.15595620635017,-3.39166815372454,-0.06120251338970,0.84554126351211,-2.88079041162167
794899926,-0.30716441834862,2.15824969584786,-3.39081233194629,-0.05996838311546,0.84696563311549,-2.88354798273610
796873057,-0.30056602641651,2.16052273031215,-3.38995598726216,-0.05873011474466,0.84839089419978,-2.88630434345238
798847372,-0.29395633708522,2.16277526063980,-3.38909911980422,-0.05748769871913,0.84981704497671,-2.88905948942920
800822846,-0.28733541512409,2.16500723793471,-3.38824172970461,-0.05624112545392,0.85124408364868,-2.89181341630599
802799452,-0.28070332549988,2.16721861350867,-3.38738381709554,-0.05499038533724,0.85267200840877,-2.89456611970280
804777164,-0.27406013337616,2.16940933888214,-3.38652538210931,-0.05373546873035,0.85410081744063,-2.89731759522015
806755956,-0.26740590411255,2.17157936578502,-3.38566642487832,-0.05247636596746,0.85553050891843,-2.90006783843903
808735801,-0.26074070326408,2.17372864615736,-3.38480694553502,-0.05121306735565,0.85696108100685,-2.90281684492066
810716674,-0.25406459658050,2.17585713215019,-3.38394694421195,-0.04994556317480,0.85839253186098,-2.90556461020653
812698547,-0.24737765000557,2.17796477612624,-3.38308642104173,-0.04867384367741,0.85982485962631,-2.90831112981818
